country_code,country,geo_id,topic_total_monthly,"free up iphone storage","iphone storage full","how to free up space on iphone","iphone running out of storage","clear storage iphone","clear cache iphone","other storage iphone","system data iphone","delete duplicate photos","delete duplicate photos iphone","phone storage full","free up space on phone","clean up storage","best phone cleaner app","find duplicate files"
US,"United States",2840,51730,1900,4400,12100,210,3600,18100,10,1600,1900,4400,720,320,880,1000,590
GB,"United Kingdom",2826,17320,720,1300,2900,70,880,8100,10,260,590,1600,260,40,170,210,210
IN,"India",2356,8940,70,1300,1300,20,480,2900,10,40,880,320,590,20,480,390,140
AU,"Australia",2036,8050,170,390,590,20,260,5400,10,110,320,480,70,20,70,50,90
CA,"Canada",2124,6060,170,590,1300,30,320,2400,10,170,210,480,70,20,110,70,110
PH,"Philippines",2608,4310,30,480,480,10,110,2400,10,260,50,90,70,10,210,70,30
ID,"Indonesia",2360,2880,30,390,90,10,90,1900,10,210,20,40,10,10,30,10,30
MY,"Malaysia",2458,2700,20,390,140,10,210,1600,10,90,40,50,50,10,50,10,20
SG,"Singapore",2702,1570,20,110,140,10,70,1000,10,40,30,90,10,10,10,10,10
TH,"Thailand",2764,1540,10,110,40,10,70,1000,0,170,20,50,10,10,10,10,20
NG,"Nigeria",2566,1510,10,260,1000,10,40,70,0,10,10,10,50,10,10,10,10
ZA,"South Africa",2710,1320,20,260,260,10,90,210,10,50,70,90,40,10,140,30,30
DE,"Germany",2276,1090,20,140,90,10,40,480,10,50,30,70,10,10,10,10,110
NL,"Netherlands",2528,890,20,110,70,10,40,390,10,50,20,50,20,10,10,10,70
SE,"Sweden",2752,800,10,50,50,10,20,320,10,210,10,30,10,10,10,10,40
AE,"United Arab Emirates",2784,690,10,90,90,10,30,320,0,10,40,40,10,10,10,10,10
IT,"Italy",2380,680,10,70,90,10,20,260,10,50,30,40,10,10,10,10,50
FR,"France",2250,650,10,50,50,10,30,260,10,50,30,40,10,10,10,10,70
ES,"Spain",2724,590,10,50,70,10,30,210,10,40,30,50,10,10,10,10,40
MX,"Mexico",2484,540,10,50,70,10,20,170,10,90,20,30,10,10,10,10,20
BR,"Brazil",2076,520,10,50,30,10,30,140,10,90,20,20,10,10,10,10,70
JP,"Japan",2392,500,10,50,50,10,20,210,0,20,20,50,10,10,10,10,20
PK,"Pakistan",2586,440,10,50,70,10,20,90,0,10,70,10,10,10,40,20,20
EG,"Egypt",2818,430,10,50,70,10,20,140,10,10,30,20,10,10,10,10,20
VN,"Vietnam",2704,370,10,50,30,10,20,110,10,30,20,20,10,10,10,10,20
SA,"Saudi Arabia",2682,360,10,50,50,10,20,110,10,10,20,20,10,10,10,10,10
PL,"Poland",2616,360,10,40,40,10,20,90,10,30,10,20,10,10,10,10,40
TR,"Turkey",2792,300,10,40,20,10,10,90,10,10,20,20,10,10,10,10,20
BD,"Bangladesh",2050,270,10,40,20,10,10,30,0,10,30,10,20,10,20,30,20
KR,"South Korea",2410,200,10,20,10,10,10,50,10,10,10,10,10,10,10,10,10